carbon_footprint,type,food_item,cluster_id
2.12,Greenhouse grown,gerkin,3
0.28,Greenhouse grown,green bean (fresh),0
2.67,Greenhouse grown,lettuce,3
3.73,Greenhouse grown,pepper,3
1.18,Greenhouse grown,pepper,3
7.35,Greenhouse grown,raspberry,3
2.88,Greenhouse grown,strawberry,3
2.43,Greenhouse grown,tomato,0
0.91,Greenhouse grown,tomato,0
1.77,Greenhouse grown,zucchini,3
1.09,Imported,avocado,3
0.82,Imported,banana,3
1.78,Imported,coconut,3
2.43,Imported,exotic fruit,0
0.55,Imported,pineapple,3
1.17,Imported,pomegranate,3
0.84,Imported,strawberry,3
0.43,Legumes,bean,0
0.77,Legumes,chickpea,3
0.49,Legumes,cowpea,3
0.52,Legumes,green bean (fresh),0
1.03,Legumes,lentil,3
0.45,Legumes,pea,3
0.56,Legumes,soybean,3
1.88,Nuts,almond,0
1.38,Nuts,cashew nut,0
0.44,Nuts,chestnut,3
1.11,Nuts,hazelnut,0
0.47,Nuts,mixed nuts,0
0.8,Nuts,palm nut,0
0.83,Nuts,peanut,3
1.6,Nuts,pistachio,3
2.06,Nuts,walnut,3
0.78,Seeds,rape seed,0
0.88,Seeds,sesam seed,0
1.16,Seeds,sunflower seed,0
0.33,Vegetables,artichoke,3
0.83,Vegetables,asparagus,3
0.25,Vegetables,beetroot,3
0.57,Vegetables,broccoli,3
0.23,Vegetables,cabagge,3
0.24,Vegetables,carrot,3
0.31,Vegetables,cauliflower,3
0.32,Vegetables,celery,3
0.8,Vegetables,chilly,3
0.19,Vegetables,eggplant,3
0.48,Vegetables,fennel,3
0.71,Vegetables,garlic,0
0.21,Vegetables,gerkin,3
0.88,Vegetables,ginger,3
0.41,Vegetables,lettuce,3
0.22,Vegetables,onion,3
0.65,Vegetables,pepper,3
0.24,Vegetables,potato,0
0.24,Vegetables,pumpkin,3
0.15,Vegetables,radish,3
0.34,Vegetables,spinach,3
0.29,Vegetables,starchy roots,3
0.29,Vegetables,swede,3
0.27,Vegetables,sweet potato,0
0.45,Vegetables,tomato,0
0.35,Vegetables,turnip,3
0.54,Vegetables,vegetables,3
0.7,Vegetables,zucchini,3
0.42,Wild berries,blackberry,3
0.78,Wild berries,blueberry,0
0.87,Wild berries,cranberry,3
0.64,Wild berries,currant,3
0.84,Wild berries,gooseberry,3
0.63,Wild berries,raspberry,3
0.61,Wild berries,strawberry,3
8.48,,butter,3
5.45,,cream,0
5.7,,mascarpone,3
8.2,,mozzarella,3
3.4,,ricotta,3
4.92,,stracchino,3
10.24,,asiago,3
7.55,,camembert,3
11.21,,ceddar,3
8.93,,cheese,0
8.65,,cheese semi-hard,0
8.2,,emmental,3
8.35,,goat cheese,0
15.34,,grana padano,2
12.54,,parmigiano reggiano,2
17.15,,pecorino,2
3.2,,eggs,3
1.74,,honey,3
3.57,,buffalo milk,0
1.31,,cow milk,0
1.44,,goat milk,0
2.85,,"yogurt, flavoured",0
3.47,,"yogurt, lactose free",0
1.69,,"yogurt, white",0
0.3,,carrot juice,0
0.3,,yukon gold potatoes,0
0.3500000000000002,,limes,3
0.3500000000000002,,pears,3
0.4,,almondmilk,3
0.4,,grape juice,0
0.4,,prickly pears,3
0.4000000000000001,,mineral water,0
0.4000000000000001,,quinces,3
0.4000000000000002,,oranges,3
0.4000000000000002,,radishes,3
0.4500000000000002,,bottled water,0
0.4500000000000002,,cowpeas,3
0.4500000000000002,,mandarin,3
0.4500000000000002,,navy beans,0
0.5000000000000001,,mangoes,3
0.5000000000000002,,cola drink,3
0.5000000000000002,,energy drink,3
0.5000000000000002,,kumquats,3
0.5000000000000002,,lentil soup,0
0.5000000000000002,,lychees,3
0.5000000000000002,,morel mushrooms,3
0.5000000000000002,,oat milk,0
0.5000000000000002,,split pea soup,0
0.5000000000000002,,tamarinds,3
0.5000000000000002,,tomato juice,0
0.5000000000000002,,watermelons,3
0.5000000000000003,,onions,3
0.5000000000000003,,potatoes,0
0.5500000000000002,,rye grains,3
0.5500000000000002,,tapioca,3
0.5500000000000003,,apples,3
0.5500000000000003,,lemons,3
0.5500000000000003,,olives,3
0.5500000000000006,,carrots,0
0.5500000000000006,,chicken soup,0
0.6,,butternut squashes,3
0.6,,espresso,3
0.6,,granulated sugar,0
0.6,,rye flour,0
0.6,,sea salt,3
0.6,,sorrel,3
0.6000000000000002,,apricots,3
0.6000000000000002,,cantaloupe,3
0.6000000000000002,,coconut milk,0
0.6000000000000002,,garlic,0
0.6000000000000002,,nectar,3
0.6000000000000002,,nectarines,3
0.6000000000000002,,rutabagas,3
0.6000000000000002,,sweet potatoes,0
0.6000000000000002,,turnips,3
0.6000000000000005,,spinach,3
0.6500000000000001,,millet,3
0.6500000000000001,,shallots,3
0.6500000000000001,,split peas,0
0.6500000000000005,,kiwifruit,3
0.6500000000000005,,plums,3
0.6500000000000006,,pumpkins,3
0.7,,barley flour,0
0.7,,chili peppers,3
0.7,,chives,3
0.7,,corn flour,0
0.7,,fresh mint,0
0.7,,pinto beans,0
0.7,,pizza sauce,0
0.7,,rye bread,0
0.7,,tarragon,3
0.7,,wheat flour,0
0.7000000000000002,,celeriac,3
0.7000000000000002,,grapefruits,3
0.7000000000000002,,parsnips,3
0.7000000000000005,,figs,3
0.7000000000000005,,guavas,3
0.7000000000000005,,juice,0
0.7000000000000005,,lima beans,0
0.7000000000000006,,cabbages,3
0.75,,whole bread,0
0.7500000000000004,,barley,3
0.7500000000000004,,ginger,3
0.7500000000000004,,pomegranates,3
0.7500000000000004,,swiss chard,3
0.7500000000000006,,broadbeans,3
0.7500000000000006,,lentils,3
0.8,,baby food,3
0.8,,bagels,3
0.8,,chervil,3
0.8,,corn,0
0.8,,dill,3
0.8,,falafels,3
0.8,,lemon juice,0
0.8,,plain bread,0
0.8,,soy sauce,0
0.8,,watercress,3
0.8000000000000005,,bulgur,3
0.8000000000000005,,cassavas,3
0.8000000000000005,,cauliflowers,3
0.8000000000000005,,celery,3
0.8000000000000005,,cherries,3
0.8000000000000005,,clementines,3
0.8000000000000005,,durum flour,0
0.8000000000000005,,kidney red beans,0
0.8000000000000005,,oats,3
0.8000000000000005,,orange juice,0
0.8000000000000005,,peaches,3
0.8000000000000005,,salsify,3
0.8000000000000005,,white wine,0
0.8500000000000001,,gnocchi,3
0.8500000000000003,,baguette,3
0.8500000000000003,,cocktail fruits,3
0.8500000000000003,,French bread,0
0.8500000000000003,,squashes,3
0.8500000000000004,,bananas,3
0.8500000000000004,,bran,3
0.8500000000000004,,melons,3
0.8500000000000005,,grapes,3
0.8500000000000006,,canned beans,0
0.9,,arugula,3
0.9,,chickpea flour,0
0.9,,cress,3
0.9,,elderberries,3
0.9,,ice pops,3
0.9,,papayas,3
0.9,,passion fruits,3
0.9,,persimmons,3
0.9000000000000004,,beer,0
0.9000000000000004,,brussels sprouts,3
0.9000000000000004,,cocktail,3
0.9000000000000004,,raisins,3
0.9000000000000005,,blackberries,3
0.9000000000000005,,French beans,0
0.9000000000000005,,pineapples,3
0.9000000000000005,,soymilk,3
0.9000000000000006,,leeks,3
0.9500000000000004,,tomato sauce,0
0.9500000000000004,,gooseberries,3
0.9500000000000004,,protein fortified soy,0
0.9500000000000004,,sorghum flour,0
0.9500000000000004,,avocados,3
0.9500000000000004,,vegetable soup,0
0.9500000000000006,,wheats,3
1.0000000000000002,,taro,3
1.0000000000000004,,coleslaw,3
1.0000000000000004,,croutons,3
1.0000000000000004,,gin,3
1.0000000000000004,,kale,3
1.0000000000000004,,pita,3
1.0000000000000004,,plantains,3
1.0000000000000004,,rum,3
1.0000000000000004,,sake,3
1.0000000000000004,,soy,0
1.0000000000000004,,tomato purée,0
1.0000000000000004,,vodka,3
1.0000000000000004,,whiskey,3
1.0000000000000004,,whole wheat,0
1.0000000000000009,,zucchinis,3
1.0500000000000005,,blueberries,3
1.0500000000000005,,coriander seed,0
1.0500000000000005,,vinegar,3
1.0500000000000005,,beans,0
1.0500000000000005,,broccoli,3
1.0500000000000005,,minestrone soup,0
1.0500000000000005,,peas,3
1.1,,amaranth,3
1.1,,brown sugar,0
1.1,,carobs,3
1.1,,cider,3
1.1,,coconut water,0
1.1,,cornstarch,3
1.1,,escarole,3
1.1,,fennel seeds,0
1.1,,pizza dough,3
1.1,,tortillas,3
1.1000000000000003,,bok choy,3
1.1000000000000003,,soymeal,3
1.1000000000000014,,gherkin,3
1.15,,buckwheat,3
1.15,,spelt,3
1.1500000000000004,,basil,3
1.1500000000000004,,chickpeas,3
1.1500000000000004,,mixed vegetables,0
1.1500000000000004,,rosemary,3
1.1500000000000004,,sage,3
1.1500000000000004,,thyme,3
1.2,,champagne,3
1.2,,kohlrabis,3
1.2,,nutmeg,3
1.2,,red wine,0
1.2,,skim milk,0
1.2000000000000002,,couscous,3
1.2000000000000002,,hamburger buns,0
1.2000000000000002,,hot dog buns,0
1.2000000000000002,,polenta,3
1.2000000000000004,,berries,3
1.2000000000000004,,cranberries,3
1.2000000000000004,,currants,3
1.2000000000000004,,herbs,3
1.2000000000000004,,ketchup,3
1.2000000000000004,,mix nuts,0
1.25,,peeled tomatoes,3
1.2500000000000004,,popcorns,3
1.2500000000000004,,rhubarb,3
1.2500000000000004,,sweet corn,0
1.2500000000000004,,wine,0
1.3,,1% milk fat milk,0
1.3,,grapeseed oil,0
1.3,,molasses,3
1.3000000000000005,,canned carrots,0
1.3000000000000005,,crackers,0
1.3000000000000012,,chestnuts,3
1.35,,canned corn,0
1.35,,french fries,0
1.35,,rice noodles,3
1.3500000000000003,,sorbet,3
1.3500000000000014,,cucumbers,3
1.4,,bamboo shoots,3
1.4,,liqueur,3
1.4,,mashed potatoes,0
1.4,,milkshake,3
1.45,,goat milk,0
1.45,,honey,3
1.45,,kefir,3
1.450000000000001,,anchovies,3
1.450000000000001,,asparagus,3
1.4500000000000013,,green bean,0
1.4500000000000013,,mushrooms,3
1.5,,3.25% milk fat milk,0
1.5,,corn chips,0
1.5,,dried marjoram,0
1.5,,dried oregano,0
1.5,,plain crackers,0
1.5,,potato chip,0
1.5,,sweet pepper,3
1.5,,tortilla chips,3
1.5000000000000009,,English muffins,0
1.5499999999999998,,frozen raspberries,0
1.5500000000000012,,dates,3
1.5500000000000012,,dried pasta,0
1.5500000000000012,,eggplants,3
1.5500000000000012,,strawberries,3
1.6,,cod liver oil,0
1.6,,herring oil,0
1.6,,jam,3
1.6,,Margherita pizzas,0
1.6,,marshmallows,3
1.6,,okra,3
1.6,,phyllo,3
1.6,,salmon oil,0
1.6,,sardine oil,0
1.600000000000001,,oatmeal,3
1.600000000000001,,sauerkraut,3
1.650000000000001,,apple juice,0
1.7,,dried apples,0
1.7,,frozen yogurt,0
1.7,,gingerbread,3
1.7,,hard candy,3
1.7,,lemon cakes,0
1.7,,lollipops,3
1.7,,smelts,3
1.7,,whipped cream,0
1.750000000000001,,mango juice,0
1.8,,meringue,3
1.8,,poppyseed,3
1.8000000000000007,,cream cheese,0
1.8000000000000007,,plain yogurt,0
1.9,,french toast,0
1.9000000000000008,,herring,3
1.9000000000000008,,mustard,3
1.9000000000000008,,yogurt,0
1.900000000000001,,sugar,0
1.950000000000001,,tofu,3
2.000000000000001,,light cream,0
2.000000000000001,,maple syrup,3
2.000000000000001,,salad dressing,0
2.0000000000000013,,pepper,3
2.0500000000000007,,brown rice,0
2.0500000000000007,,wild rice,3
2.1,,bone in poultry,0
2.1,,muesli,3
2.1000000000000005,,croissants,3
2.100000000000001,,artichokes,3
2.1500000000000004,,Greek yogurt,0
2.150000000000001,,coconuts,3
2.150000000000001,,almonds,3
2.2,,stick fishes,0
2.2000000000000006,,chicken liver,0
2.2000000000000006,,parsley,3
2.2000000000000006,,peanut butter,3
2.2000000000000006,,sunflower seeds,0
2.200000000000001,,seed,0
2.25,,vegetable oil,0
2.250000000000001,,mayonnaise,3
2.3,,sesame oil,0
2.3,,vegetarian hamburgers,3
2.3500000000000005,,cashews,3
2.3500000000000028,,walnut,3
2.4,,fajita,3
2.4,,marzipan,3
2.4,,risotto,3
2.4000000000000004,,cheesecakes,3
2.400000000000001,,egg pasta,0
2.4000000000000026,,lettuce,3
2.4500000000000006,,cheeses pizzas,0
2.4500000000000006,,custard,3
2.5,,condensed milk,0
2.5,,fruitcake,3
2.5,,pork liver,0
2.5,,sushi,3
2.500000000000001,,vegetable pizzas,0
2.5500000000000025,,peanuts,3
2.6,,apple pies,0
2.6500000000000004,,margarine,3
2.6500000000000004,,pesto,0
2.650000000000002,,ice cream,0
2.6500000000000026,,hazelnuts,3
2.7,,stir-fried rice,3
2.7000000000000024,,syrup,3
2.7500000000000018,,vanilla extract,3
2.8,,bone in chickens,0
2.8,,tahini,3
2.9,,prunes,3
2.9,,soufflés,3
3.000000000000002,,snails,0
3.05,,breakfast cereal,3
3.0500000000000025,,sesames,3
3.1,,Caesar salad,0
3.1,,rice flour,0
3.1500000000000026,,tomatoes,0
3.2000000000000024,,olive oil,0
3.250000000000002,,crepes,3
3.3,,egg rolls,0
3.350000000000002,,baking soda,3
3.4,,bone in pork,0
3.4,,ricotta cheese,0
3.400000000000002,,sardines,3
3.450000000000001,,tomato paste,0
3.450000000000002,,brioche,3
3.450000000000002,,rice,0
3.5,,chia seed,0
3.5,,corn oil,0
3.5,,lactose free yogurt,0
3.55,,puff pastry,3
3.5500000000000016,,peanut oil,0
3.6,,flax seeds,0
3.6,,macadamia,3
3.6,,mushroom soup,0
3.6,,pecans,3
